ID_CLIENTE;ESTC;NDEP;RENDA;TIPOR;VBEM;NPARC;VPARC;TEL;IDADE;RESMS;ENTRADA;ADIMPLENTE
117;C;0;700;NP;378;2;202;N;21;48;0;N
118;S;0;1000;P;678;10;93;N;39;6;0;S
119;C;0;514;NP;435;6;90;N;61;48;0;S
120;S;0;400;P;546;10;83;N;35;6;0;S
121;S;0;655;P;399;10;55;N;38;6;0;S
122;S;0;300;P;459;10;70;N;46;6;0;S
123;S;0;749;P;1079;9;175;N;70;6;0;S
124;S;2;400;P;429;10;60;N;41;6;0;S
125;S;0;650;NP;805;20;88;S;62;24;0;N
126;C;0;640;NP;855;12;72;N;29;48;0;N
127;S;0;2010;P;360;2;122;S;47;100;122;S
128;C;0;600;NP;870;12;118;N;37;48;0;N
129;S;0;1500;NP;569;11;66;N;33;24;66;N
130;C;0;483;NP;786;10;108;N;32;6;0;N
131;S;0;760;NP;342;6;68;N;35;6;24;N
132;S;0;305;P;435;10;66;N;59;6;0;S
133;C;0;700;P;356;6;79;S;34;84;0;S
134;S;0;2000;NP;1662;4;334;N;56;0;334;S
135;C;0;481;P;340;10;52;N;42;6;0;S
136;C;0;300;P;349;10;51;N;40;6;0;S
137;S;0;860;NP;965;15;117;N;48;6;0;N
138;C;0;500;P;618;10;89;N;28;6;0;S
139;S;0;1200;P;489;12;66;N;30;6;0;N
140;S;0;1400;P;350;4;103;N;34;6;0;N
141;S;0;750;NP;532;2;179;N;59;0;179;S
142;C;0;5610;P;567;10;78;N;31;6;0;S
143;C;0;600;NP;399;6;88;N;23;48;0;N
144;S;0;380;P;336;10;52;N;67;6;0;S
145;S;0;735;P;415;5;62;N;22;6;159;N
146;S;0;800;P;597;9;97;N;39;6;0;S
147;C;0;450;NP;470;10;72;N;26;48;0;N
148;S;0;379;NP;599;12;82;N;35;0;0;N
149;S;1;541;P;577;10;87;N;44;6;0;S
150;C;0;1090;NP;450;10;69;S;26;0;0;N
151;C;0;2500;NP;395;3;144;N;26;48;0;N
152;S;0;1500;P;399;10;55;N;43;6;0;S
153;C;0;350;NP;399;12;54;N;32;0;0;N
154;C;0;300;NP;302;6;67;N;26;6;0;N
155;S;0;1442;NP;552;4;119;N;62;48;119;S
156;C;0;550;NP;617;8;109;N;52;144;0;N
157;C;0;790;NP;918;12;130;S;36;144;0;S
158;C;0;1000;P;370;6;79;N;39;6;0;S
159;S;0;800;P;480;10;67;N;31;6;0;S
160;C;0;620;P;427;10;65;N;22;6;0;N
161;V;0;713;P;576;3;157;S;49;288;157;S
162;S;0;400;P;345;10;53;N;68;6;0;S
163;S;0;600;NP;568;12;77;N;25;6;0;N
164;S;0;1200;P;339;6;73;N;41;6;0;N
165;C;0;448;NP;445;10;53;N;22;0;100;N
166;C;3;631;P;748;6;158;N;52;6;0;S
167;C;0;1200;NP;888;5;217;N;36;48;0;N
168;S;0;850;NP;559;10;85;N;34;6;0;N
169;S;0;1386;NP;519;11;60;N;61;24;60;S
170;C;0;1500;NP;400;1;418;N;27;48;0;N
171;S;0;500;P;348;10;53;N;35;6;0;S
172;S;3;420;P;537;10;78;N;49;6;0;S
173;S;0;300;P;519;10;72;N;33;6;0;S
174;C;0;548;NP;304;2;165;N;24;48;0;N
175;S;0;450;P;799;10;121;N;42;6;0;N
176;S;2;2000;P;480;10;67;N;61;6;0;S
177;C;0;756;NP;617;6;131;N;57;6;0;N
178;S;0;550;NP;356;3;133;S;27;17;0;N
179;C;0;720;NP;366;6;62;N;66;48;0;S
180;C;0;360;P;394;9;64;N;66;6;0;S
181;S;2;1000;P;635;4;171;N;41;6;50;S
182;C;0;350;NP;422;7;82;S;35;60;0;N
183;S;0;350;NP;480;12;66;N;50;84;0;N
184;S;0;1200;NP;458;10;71;N;52;12;0;N
185;C;0;300;NP;459;12;55;S;19;5;55;N
186;S;0;750;NP;710;10;107;N;28;6;0;N
187;S;0;3000;P;846;3;315;N;34;6;0;S
188;S;0;1000;NP;400;2;141;N;63;0;141;S
189;C;0;800;P;480;6;81;N;40;6;100;S
190;S;0;2000;NP;1167;2;391;N;63;0;391;S
191;S;0;317;P;459;12;63;S;57;264;0;S
192;S;0;500;NP;483;10;58;S;43;8;100;N
193;D;0;1533;NP;397;7;78;S;49;180;0;N
194;S;0;1500;NP;611;15;67;S;36;240;67;N
195;C;0;600;NP;583;12;80;N;63;48;0;S
196;C;0;2000;P;360;10;55;N;38;6;0;N
197;S;0;755;P;1190;12;160;N;41;6;0;S
198;S;0;300;P;537;10;78;N;32;6;0;S
199;C;0;3000;NP;400;1;418;N;26;48;0;N
200;V;0;856;NP;649;4;192;N;66;48;0;S
201;C;0;470;NP;393;6;66;N;62;48;0;S
202;V;0;400;NP;559;12;79;N;49;300;0;N
203;S;0;700;NP;402;12;56;N;28;48;0;N
204;S;0;650;NP;770;12;105;S;61;360;0;N
205;S;0;340;NP;369;12;52;N;41;0;0;N
206;S;0;709;P;429;10;60;N;47;6;0;S
207;C;0;800;P;459;10;70;N;60;6;0;S
208;C;0;800;P;459;10;70;N;48;6;0;S
209;C;0;5000;NP;2579;7;502;S;54;180;0;N
210;S;0;1727;NP;1199;3;76;N;65;48;1000;S
211;S;0;600;NP;460;6;103;N;23;12;0;N
212;C;0;546;NP;389;6;82;N;20;48;0;N
213;S;0;1922;NP;552;4;119;N;61;48;119;S
214;C;0;398;P;420;10;58;N;34;6;0;S
215;C;0;1200;NP;535;2;290;N;29;48;0;N
216;C;0;500;NP;389;6;82;N;60;48;0;S
217;C;0;360;P;384;12;52;S;41;0;0;S
218;C;0;2057;P;989;5;212;N;41;6;100;S
219;S;0;500;P;541;10;82;N;34;6;0;S
220;C;0;1200;NP;598;9;99;N;45;0;0;N
221;S;0;5800;NP;438;2;147;N;59;0;149;S
222;S;0;400;NP;389;11;54;N;29;48;0;N
223;C;0;861;P;350;10;54;N;38;6;0;S
224;C;0;1300;NP;420;5;78;S;63;0;100;S
225;C;0;368;NP;704;9;79;N;43;48;0;N
226;C;0;500;P;468;10;71;N;35;0;0;S
227;S;0;1866;P;613;12;83;S;41;12;0;S
228;S;0;800;P;392;9;50;N;35;6;81;S
229;C;0;390;NP;468;12;64;S;22;0;0;N
230;S;0;600;P;525;4;153;N;33;6;0;S
231;S;0;995;NP;880;6;160;N;58;0;160;S
232;S;0;430;NP;422;10;64;N;36;0;0;N
233;S;0;2400;NP;1233;4;247;N;60;0;250;S
234;S;0;500;P;459;10;70;N;35;6;0;S
235;S;0;2064;P;450;10;68;N;36;6;0;N
236;C;0;500;NP;410;3;152;N;27;48;0;N
237;C;0;450;NP;468;12;65;N;37;24;0;N
238;C;0;600;P;409;3;152;N;33;48;0;S
239;S;0;610;NP;365;5;61;N;62;48;61;S
240;C;0;2000;NP;984;12;83;N;37;48;0;N
241;C;0;500;NP;459;8;81;N;23;0;0;N
242;S;0;600;P;657;6;140;N;41;6;0;S
243;C;0;900;P;475;10;69;N;42;6;0;N
244;C;0;700;NP;849;6;143;N;47;48;150;N
245;S;0;700;P;375;10;57;N;33;6;0;S
246;C;0;4000;P;639;10;88;N;55;6;0;S
247;S;0;4500;P;667;10;96;N;31;6;0;N
248;S;0;600;P;780;12;78;N;40;6;200;N
249;C;0;3500;P;617;10;93;N;35;6;0;N
250;S;4;350;P;498;12;67;N;45;6;0;N
251;C;0;1830;NP;552;4;119;N;59;48;119;S
252;S;0;360;P;429;10;60;N;46;6;0;S
253;C;0;502;NP;463;4;137;N;32;48;0;N
254;C;0;4000;P;459;10;70;N;28;6;0;S
255;S;0;890;NP;556;12;76;N;28;0;0;N
256;S;0;600;NP;468;12;64;N;34;240;0;N
257;S;0;1800;NP;560;7;110;S;32;12;0;N
258;D;0;420;NP;423;12;58;N;54;0;0;S
259;S;0;1000;P;1070;4;242;S;59;156;250;S
260;S;0;700;NP;301;7;59;S;33;180;0;N
261;C;0;1015;NP;942;6;158;N;61;48;0;S
